#OTUID	Q1	Q10	Q100	Q101	Q102	Q103	Q104	Q105	Q106	Q107	Q109	Q11	Q110	Q111	Q112	Q113	Q114	Q115	Q116	Q117	Q118	Q12	Q13	Q14	Q147	Q148	Q149	Q15	Q150	Q151	Q152	Q153	Q155	Q156	Q157	Q158	Q159	Q16	Q160	Q161	Q162	Q163	Q164	Q165	Q166	Q167	Q168	Q169	Q17	Q170	Q171	Q172	Q173	Q174	Q175	Q176	Q177	Q178	Q179	Q18	Q180	Q181	Q182	Q183	Q184	Q185	Q186	Q187	Q188	Q189	Q19	Q190	Q191	Q192	Q193	Q194	Q195	Q196	Q197	Q198	Q199	Q2	Q20	Q200	Q201	Q202	Q203	Q204	Q205	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q3	Q30	Q31	Q32	Q33	Q35	Q36	Q37	Q38	Q39	Q4	Q40	Q41	Q42	Q44	Q46	Q48	Q49	Q5	Q56	Q58	Q59	Q62	Q63	Q67	Q69	Q7	Q71	Q73	Q74	Q75	Q76	Q77	Q78	Q79	Q8	Q80	Q81	Q82	Q83	Q84	Q85	Q86	Q87	Q89	Q9	Q90	Q92	Q98	Q99
ASV_61	9	60	258	182	43	5827	417	691	71	62	13	48	17	51	108	123	27	16	15	38	56	99	104	22	24	26	77	26	30	89	78	65	199	30	46	41	44	350	16	59	68	134	197	279	281	23	47	93	527	100	76	39	13	8	12	2	7	18	5	105	125	45	44	68	34	4	7	148	3005	34	59	346	1236	151	20	10	18	17	11	31	19	23	30	43	72	30	146	179	46	21	316	21	35	71	16	73	37	45	42	25	17	11	18	151	113	178	19	85	16	25	21	566	2	5	73	233	110	7	62	7	21	22	10	140	22	697	147	154	170	17	116	10	59	27	123	99	119	173	109	16	8	31	60	85	11	37	235
ASV_24	0	0	2	0	0	8	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	19	33	18	95	51	54	105	45	219	39	0	157	19	32	36	20	13	39	14	14	19	0	32	13	11	2013	40	16	20	19	470	16720	1	569	210	20	20	13	18	18	13	22	30	0	0	18	18	49	38	21	32	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	1	16	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
ASV_27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	44	42	45	46	70	47	251	75	50	0	64	48	2462	425	110	157	411	31	51	39	0	39	68	31	31	549	152	32	39	41	11709	0	183	3464	31	51	37	48	41	19	47	28	0	0	59	23	57	34	37	41	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	1	0	0	0	2	0	0	0	1	15	0	1	0	0	0	21	35	32	26	33	44	28	28	21	26	11	51	20	6	17	14	14	14	4	22	11	8	13	15	18	16	9	12	12	9	52	18649	4	39	76	9	26	16	19	27	15	24	20	0	0	15	23	43	16	12	55	0	0	0	0	0	0	0	0	11	1	0	1	0	0	31	0	2	0	13	0	3	0	2	0	0	0	2	0	0	1	0	0	2	0	1	1	0	1	8	4	1	0	0	1	0	0	7	9	12	1	1	0	0	0	0	0	0	0
ASV_46	4	215	22	15	23	105	16	15	17	53	13	1081	6647	13	10	14	17	13	11	9	9	80	113	78	19	180	26	26	136	18	58	9	621	12	67	19	15	42	68	8	19	12	14	19	15	28	17	34	21	443	23	8	18	8	5	16	4	27	12	15	1	4	6	8	12	196	7	7	58	40	10	321	381	9	12	10	37	30	10	45	36	13	424	34	83	272	2249	38	27	11	56	12	17	20	7	15	65	7	88	30	18	7	17	47	23	53	95	25	22	29	13	898	0	114	17	31	45	3	2	5	1	2	18	113	18	14	22	70	23	58	15	2	67	7	15	7	5	40	27	52	217	21	52	30	13	13	17
ASV_28	2	22	0	0	0	0	0	1	0	0	0	8	0	1	1	0	0	1	0	0	0	18	9	7	0	0	0	10	0	0	1	0	1	0	0	0	0	13	38	35	43	38	22	34	20	63	23	39	6	54	70	29	25	17	20	33	17	14	16	19	18	9	20	14	29	34	11	15	54	13187	7	117	143	22	45	15	37	20	14	20	24	9	2	26	17	49	37	19	58	15	12	11	5	7	3	4	14	3	13	2	9	4	7	15	11	12	8	9	9	8	10	1935	0	0	0	11	0	0	0	0	0	0	1	9	0	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	8	0	0	0	0
ASV_53	0	9	2	57	4	216	48	5	3	2	0	1	4	0	2	0	1	1	1	4	0	15	19	0	3	0	0	0	3	5	17	3	2	59	372	3	9	1	36	33	34	36	16	114	1270	58	270	203	0	39	52	13	54	10	23	63	11	20	86	1	43	21	20	122	140	19	20	10	905	2372	0	76	8132	18	25	18	16	20	10	39	37	0	0	34	25	44	32	16	64	3	0	0	0	1	0	0	0	0	0	0	1	0	0	41	0	9	2	1	1	0	2	3	1	1	2	0	2	0	5	0	1	11	4	8	7	1	0	30	5	30	24	2	0	0	4	2	2	32	2	16	6	0	2	6	0	9	5
ASV_34	12	19	42	0	4	0	36	9	0	0	0	2	1	71	34	0	0	2	0	10	1	9	6	0	2	0	1	4	0	0	9	3	2	1	0	1	0	20	12101	48	54	23	37	36	31	30	37	19	4	23	23	22	19	24	18	25	18	20	22	29	27	29	18	28	14	35	19	14	27	22	2	21	31	23	29	24	27	24	14	1285	254	3	1	222	14	29	21	32	45	2	11	10	0	2	0	1	59	3	5	1	3	1	2	0	10	23	1	13	6	3	4	3	0	1	0	0	0	24	1	0	0	0	0	66	0	7	1	34	20	0	0	9	23	6	18	0	4	42	2	1	0	2	4	1	0	1	9
ASV_41	1	6	44	47	47	10515	85	83	95	105	23	5	63	25	44	786	28	15	17	47	29	11	31	3	14	27	16	4	23	23	106	69	61	24	71	23	16	8	2	0	8	9	472	101	2	4	12	178	27	8	9	19	2	2	0	3	0	3	1	8	1	2	2	26	3	3	4	0	4	3	9	3	7	3	6	2	3	150	4	1	2	6	1	5	5	5	3	3	2	4	4	5	3	14	1	7	5	5	22	5	5	0	5	40	43	86	12	17	2	16	1	697	6	3	131	3	26	1	1	4	7	0	0	1	0	20	289	10	8	2	33	3	2	3	3	43	15	54	11	6	12	36	8	73	23	21	47
ASV_33	0	14	0	3	0	5	6	3	2	1	0	1	0	2	2	3	3	378	2	4	4	5	8	2	0	2	1	4	0	1	3	2	0	5	5	1	2	1	0	1	1	1	0	4	0	1	1	2	8	4	1	0	0	0	0	2	0	0	1	114	0	0	0	2	0	0	0	0	1	4	1	1	8	0	1	0	33	4	0	8	7	0	2	19	1	55	0	0	0	1	10	3	0	1	2	2	3	7	4	2	2	0	3	3	2	3	0	2	1	2	1	10	49	54	4	49	1	51	53	50	70	46	53	2	65	126	98	157	13000	88	84	45	5	85	77	72	84	81	78	115	67	1	4	2	4	2	0
ASV_29	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	1	20	13	21	11	8	14	19	32	15	27	0	14	14	13	3	15	10	21	10	19	24	0	16	10	18	10	24	23	14	16	36	57	1	40	67	14	11	13	10	28	11	27	19	0	0	23	11	74	19	101	13966	0	0	0	0	0	0	1	0	0	2	2	0	0	0	2	0	0	6	12	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	7	13	14	14	15	7	2	5	0	6	12	8	7	6	7	9	4	4	4	2	5	10	12	6	5	10	14	12	13183	12	0	8	12	6	16	4	5	1	1	11	11	0	0	7	11	7	6	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_55	0	60	0	23	3	49	1	2	0	3	0	0	0	4	0	1	2	1	0	2	3	4	7	4	0	1	0	1	1	1	2	0	1	0	80	0	0	6	16	26	40	22	42	468	60	29	82	210	6	306	57	18	15	9	14	31	45	25	11	6	14	16	114	65	26	39	18	23	6168	1062	3	2286	638	46	17	8	20	12	7	98	23	3	1	22	10	60	19	16	23	3	3	0	0	1	0	2	2	1	5	2	4	2	0	4	23	7	1	6	2	0	0	13	0	1	1	4	1	0	0	6	1	1	0	3	0	0	5	8	0	0	1	0	3	1	0	7	5	1	1	47	3	2	73	43	0	92	0
ASV_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	21	13	17	10	19	22	12	15	30	0	26	8	7	10	7	4	13	2	7	19	0	8	8	7	14	12	13	4	4	51	11973	1	26	75	10	4	12	16	16	12	14	10	0	0	23	5	38	5	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_37	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	11	15	15	17	21	12	6	28	6	14	0	22	10	12	14	7	1	4	6	5	10	0	7	10	12	8	18	7	7	5	31	11762	1	320	44	3	11	10	12	9	6	10	11	0	0	15	5	20	18	7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	10	14	9	19	58	18	11736	8	20	0	5	13	14	9	14	6	11	14	14	9	0	14	5	7	10	13	11	12	10	31	37	0	26	50	12	15	11	15	13	13	23	16	0	0	15	9	15	19	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV_42	0	0	26	29	18	118	20	24	40	28	20	0	20	20	41	33	23	24	22	22	17	0	0	0	14	22	15	0	18	8	10936	41	35	29	20	16	15	0	0	0	2	0	2	2	0	1	0	2	0	0	2	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	2	4	0	0	2	0	0	0	2	0	1	252	3	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	33	0	54	21	24	45
