SampleID	Longitude	Latitude	Altitude	Biome	MAT_k10	AI
Q193	86.73135278	29.40011111	4607	Meadow	5.342405796	0.2355
Q194	87.20964444	29.25006944	4542	Meadow	6.357804775	0.2669
Q195	90.62548056	30.20005556	4597	Meadow	3.301386356	0.3046
Q196	91.06621944	30.450125	4294	Meadow	1.55195868	0.3044
Q197	91.53866389	30.61683796	4533	Meadow	0.719914377	0.3428
Q198	91.68704167	31.06668519	4716	Steppe	-0.588726759	0.3976
Q199	91.68755833	31.08335648	4736	Meadow	-0.611965954	0.3995
Q200	91.69302778	31.08335648	4764	Meadow	-0.611965954	0.4029
Q201	100.7942583	36.48346759	3255	Steppe	4.556479454	0.3766
Q202	100.8914167	36.31675463	3273	Steppe	5.453288078	0.3876
Q203	101.3099056	37.60016667	3207	Meadow	1.229238272	0.48
Q204	101.3083861	37.63350926	3322	Meadow	1.250104427	0.4948
Q205	101.2408417	37.60016667	3213	Meadow	1.186602831	0.4611
