#OTUID	Q1	Q10	Q100	Q101	Q102	Q103	Q104	Q105	Q106	Q107	Q109	Q11	Q110	Q111	Q112	Q113	Q114	Q115	Q116	Q117	Q118	Q12	Q13	Q14	Q147	Q148	Q149	Q15	Q150	Q151	Q152	Q153	Q155	Q156	Q157	Q158	Q159	Q16	Q160	Q161	Q162	Q163	Q164	Q165	Q166	Q167	Q168	Q169	Q17	Q170	Q171	Q172	Q173	Q174	Q175	Q176	Q177	Q178	Q179	Q18	Q180	Q181	Q182	Q183	Q184	Q185	Q186	Q187	Q188	Q189	Q19	Q190	Q191	Q192	Q193	Q194	Q195	Q196	Q197	Q198	Q199	Q2	Q20	Q200	Q201	Q202	Q203	Q204	Q205	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q3	Q30	Q31	Q32	Q33	Q35	Q36	Q37	Q38	Q39	Q4	Q40	Q41	Q42	Q44	Q46	Q48	Q49	Q5	Q56	Q58	Q59	Q62	Q63	Q67	Q69	Q7	Q71	Q73	Q74	Q75	Q76	Q77	Q78	Q79	Q8	Q80	Q81	Q82	Q83	Q84	Q85	Q86	Q87	Q89	Q9	Q90	Q92	Q98	Q99
ASV_4004	3	4	0	3	0	32	1	0	1	11	0	7	3	0	0	0	2	0	1	1	0	4	0	0	2	2	2	0	10	1	2	8	1	1	0	5	13	0	0	0	15	0	0	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	6	0	1	1	2	7	8	28	1	0	33	6	13	1	2	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	5	2	14	0	0	0	0	2	0	0	0	0	1	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ASV_1829	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	2	0	2	2	3	34	0	1	2	0	0	1	3	169	0	9	0	2	30	0	3	2	2	1	1	1	2	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3020	0	0	0	0	3	0	0	24	39	3	6	0	6	0	0	0	6	9	6	0	0	0	0	0	0	0	8	0	0	0	1	0	5	0	0	0	0	0	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7	21	0	0	13	0	0	0	0	0	0	0	0	0	1	5	0	0	0	2	2	3	0	4	0	7	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	3	0	0	0	0	1	0	0	0	0	0	0	0	55
ASV_2028	0	3	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	6	1	0	0	0	0	0	0	7	0	1	2	1	4	7	3	11	3	0	139	0	0	0	0	0	0	0	2	0	1	0	0	4	1	0	0	0	0	1	0	0	42	0	1	0	1	2	0	7	5	3	3	1	2	1	2	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	1	4	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ASV_2639	0	1	0	1	2	12	0	1	0	0	1	1	1	0	0	0	1	1	3	0	2	0	0	0	3	1	4	0	2	0	2	4	7	1	0	0	3	0	1	6	7	5	18	0	0	4	0	7	0	1	0	1	14	0	0	1	0	0	0	0	0	1	0	0	2	2	2	2	1	58	0	1	10	4	3	1	2	2	2	0	7	1	0	6	7	1	8	4	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	5	0	1	1	1	0	1	0	3	0	0	3	0	0	1	0	1	1	0	0	0	0	0	2	2	1	1	4	0	1	0	0	0	3	6	1	1	0	3	0	0	0	0	3
ASV_3067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	2	1	0	0	17	1	0	2	0	10	0	0	3	0	0	0	1	3	0	0	0	0	26	0	24	0	3	0	14	80	0	7	6	5	22	13	1	5	4	3	7	0	0	7	4	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0
ASV_4990	5	0	0	0	7	44	2	0	4	0	7	4	0	0	0	0	9	1	0	3	0	1	0	0	0	1	2	0	0	0	2	1	2	0	1	0	26	0	0	3	0	3	6	1	0	11	2	7	0	2	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	2	2	0	1	0	0	0	0	0	0	1	0	9	9	9	1	17	0	0	8	22	0	0	0	0	0	0	1	0	1	0	0	3	1	0	3	6	2	0	2	0	2	1	1	1	0	0	0	0	0	3	0	0	0	0	4	2	1	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	3	0	2	0	1	8
ASV_1914	0	3	0	21	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	2	2	0	3	1	0	0	0	0	0	1	1	0	0	0	2	0	0	34	209	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ASV_2344	0	0	0	4	0	1	1	0	1	2	0	1	1	1	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	1	3	1	0	0	1	0	0	7	2	0	6	1	2	1	42	1	0	1	0	3	1	5	4	92	1	1	0	0	1	2	2	3	0	2	3	0	0	2	1	5	1	0	0	0	0	7	0	0	0	1	0	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	29	0
ASV_2634	0	3	15	0	7	1	2	1	20	7	0	0	4	5	1	0	3	0	1	0	0	0	1	4	0	0	0	0	0	4	1	2	0	4	0	0	11	1	0	9	5	0	14	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	5	0	0	7	3	0	4	1	1	0	0	0	0	0	0	7	0	3	0	9	0	0	0	0	6	5	0	0	2	0	0	0	0	0	5	0	0	0	1	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	2	18	2	3	0	62
