#OTUID	Q1	Q10	Q100	Q101	Q102	Q103	Q104	Q105	Q106	Q107	Q109	Q11	Q110	Q111	Q112	Q113	Q114	Q115	Q116	Q117	Q118	Q12	Q13	Q14	Q147	Q148	Q149	Q15	Q150	Q151	Q152	Q153	Q155	Q156	Q157	Q158	Q159	Q16	Q160	Q161	Q162	Q163	Q164	Q165	Q166	Q167	Q168	Q169	Q17	Q170	Q171	Q172	Q173	Q174	Q175	Q176	Q177	Q178	Q179	Q18	Q180	Q181	Q182	Q183	Q184	Q185	Q186	Q187	Q188	Q189	Q19	Q190	Q191	Q192	Q193	Q194	Q195	Q196	Q197	Q198	Q199	Q2	Q20	Q200	Q201	Q202	Q203	Q204	Q205	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q3	Q30	Q31	Q32	Q33	Q35	Q36	Q37	Q38	Q39	Q4	Q40	Q41	Q42	Q44	Q46	Q48	Q49	Q5	Q56	Q58	Q59	Q62	Q63	Q67	Q69	Q7	Q71	Q73	Q74	Q75	Q76	Q77	Q78	Q79	Q8	Q80	Q81	Q82	Q83	Q84	Q85	Q86	Q87	Q89	Q9	Q90	Q92	Q98	Q99
ASV_61	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	2	1	0	1	0	0	11	1	1	1	0	0	0	0	1	5	0	0	0	0	0	1	0	0	3	54	1	12	0	6	25	0	14	1	3	9	30	29	1	5	20	19	0	17	1	2	0	7	39	2	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	17	4	1	0	0	0	0	0	2
ASV_103	2	1	0	3	2	1	1	4	0	2	0	2	0	5	8	1	1	3	2	7	6	7	0	2	9	38	9	1	12	23	8	4	8	14	1	2	2	0	4	2	2	0	11	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	3	8	1	9	3	3	3	2	0	4	9	1	2	0	5	0	0	0	2	0	2	0	3	1	0	6	1	3	0	1	0	0	0	3	0	2	3	0	1	1	0	0	1	0	0	0	5	0	0	0	0	1	0	0	3	0	1	0	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	1
ASV_76	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	5	4	0	0	0	1	0	0	1	0	1	3	1	0	0	0	0	222	4	2	0	2	1	2	12	0	0	0	14	12	1	0	0	0	0	1	0	0	0	1	2	3	0	1	2	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_64	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	1	0	1	0	0	0	13	1	1	3	3	1	0	0	0	0	0	1	0	2	1	4	10	3	4	0	8	17	5	2	1	3	1	0	0	1	0	0	1	1	1	1	2	3	0	2	0	0	1	0	1	0	0	0	0	0	0	0	4	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	1	0	0	0	0	1	0
ASV_101	15	1	11	2	0	1	7	38	6	1	5	6	2	0	21	0	28	22	6	1	1	1	0	0	0	0	2	1	1	0	1	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	1	0	6	0	0	0	1	0	0	0	1	0	1	9	1	10	0	0	1	0	0	4	2	49	27	6	12	11	11	0	1	4	3	8	1	0	0	2	5	0	11	36	4	1	5	0	4	4	3	15	0	0	0	0	0	2	0	0	1	1	0	0	0	19	0	5	0	0	0	0	0	1	1	1	0	1	3	0	2
ASV_73	13	2	0	0	1	0	0	1	2	0	0	0	1	1	4	1	37	10	0	1	8	1	3	1	0	0	0	29	0	0	0	0	0	0	0	0	4	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	6	0	1	0	71	0	0	12	0	0	0	27	17	0	0	0	0	0	0	12	0	14	2	0	5	0	9	0	31	13	26	4	0	0	0	1	0	0	2	16	35	0	0	1	2	1	1	7	4	5	1	6	1	2	2	4	4	0	0	5	19	1	2	59	1	3	0	1	1	0	0	0	0	0	0	1	0
ASV_144	14	2	2	1	2	1	7	2	3	5	4	0	2	1	0	1	4	0	5	3	1	1	3	1	4	0	0	3	0	3	0	0	0	2	5	1	2	0	0	0	2	5	2	8	4	0	1	1	2	3	0	0	1	3	0	0	1	0	0	1	0	3	3	7	1	2	1	1	1	0	4	1	4	1	2	2	3	1	0	2	6	6	3	12	1	3	2	0	1	1	1	5	1	1	2	1	1	0	0	3	2	5	1	0	1	2	2	2	8	2	8	0	0	0	0	2	0	3	0	6	0	4	4	2	2	0	5	0	1	0	1	18	0	3	0	1	0	0	3	9	1	3	3	10	17	4	3
ASV_120	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	3	0	0	1	1	0	1	1	2	2	0	2	0	1	3	0	0	1	1	8	2	1	0	2	1	1	7	0	0	0	6	3	2	6	24	13	9	1	0	13	13	2	4	1	0	3	6	2	0	1	0	0	7	12	0	0	0	0	4	3	0	1	2	1	1	1	0	0	2	2	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	5	2	0	1	1	0	0	0	2	0	0	2	0	0	1	0	1	4	5	0	0	2	2	4	0	0	4	3	1	0	0	1	3	2	3	2	0	0	0	0	0	1	0	1
ASV_102	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	10	3	0	1	1	3	0	0	3	4	1	0	2	0	1	0	6	3	0	4	3	7	0	4	0	11	5	5	2	2	0	0	4	2	0	0	1	1	2	4	0	0	1	12	4	1	0	2	0	14	4	0	1	0	0	2	3	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0
ASV_118	0	2	1	20	0	0	0	2	2	2	6	4	3	0	0	0	1	0	0	2	1	3	0	0	0	0	1	1	0	1	0	0	0	0	3	0	5	3	2	1	6	4	13	2	2	5	2	4	0	3	1	3	20	1	2	0	5	3	0	0	0	3	4	2	2	0	0	10	0	0	0	3	2	0	5	0	3	0	0	3	1	2	4	4	1	0	3	0	0	0	1	1	2	2	0	1	0	3	0	0	1	0	1	3	6	0	0	0	3	2	4	0	3	2	3	2	1	2	0	0	0	0	0	2	9	0	1	1	0	0	1	0	1	0	1	3	0	0	0	3	0	0	0	0	2	3	0
