OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_3008	Eukaryota	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_3166	Eukaryota	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_5219	Eukaryota	Cercozoa	Filosa-Imbricatea	Filosa-Imbricatea_X	Nudifilidae	Nudifila	Nudifila_producta
ASV_1791	Eukaryota	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2043	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2760	Eukaryota	Lobosa	Lobosa_X	Centramoebida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_sp.
ASV_2848	Eukaryota	Cercozoa	Filosa-Granofilosea	Desmothoracida	Clathrulinidae	Clathrulinidae_X	Clathrulinidae_X_sp.
ASV_3021	Eukaryota	Breviatea	Breviatea_X	Breviatea_XX	Breviata-lineage	Breviata	Breviata_anathema
ASV_1759	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	Paracercomonas_sp.
ASV_2807	Eukaryota	Sagenista	Labyrinthulomycetes	Thraustochytriales	Thraustochytriaceae	Thraustochytriaceae_X	Thraustochytriaceae_X_sp.
ASV_3295	Eukaryota	Ciliophora	Phyllopharyngea	Cyrtophoria_4	Chilodonellidae	Chilodonellidae_X	Chilodonellidae_X_sp.
ASV_3785	Eukaryota	Sagenista	Labyrinthulomycetes	Thraustochytriales	Thraustochytriaceae	Thraustochytriaceae_X	Thraustochytriaceae_X_sp.
ASV_3818	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Unassigned	Unassigned	Unassigned
ASV_4228	Eukaryota	Ciliophora	Litostomatea	Litostomatea_X	Litostomatea_XX	Litostomatea_XXX	Litostomatea_XXX_sp.
ASV_5016	Eukaryota	Ciliophora	Colpodea	Colpodea_X	Cyrtolophosidida	Cyrtolophosidida_X	Cyrtolophosidida_X_sp.
ASV_5308	Eukaryota	Cercozoa	Filosa-Imbricatea	Euglyphida	Trinematidae	Trinema	Unassigned
ASV_1371	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Unassigned	Unassigned	Unassigned
ASV_2628	Eukaryota	Ciliophora	Nassophorea	Nassophorea_X	Nassulida	Obertrumia	Obertrumia_georgiana
ASV_3328	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	Unassigned
ASV_3580	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Rhogostoma-lineage	Rhogostoma-lineage_X	Rhogostoma-lineage_X_sp.
ASV_4708	Eukaryota	Ciliophora	Litostomatea	Litostomatea_X	Litostomatea_XX	Spathidium_1	Spathidium_claviforme
ASV_2231	Eukaryota	Ciliophora	Phyllopharyngea	Synhymenia	Orthodonellidae	Orthodonellidae_X	Orthodonellidae_X_sp.
ASV_3503	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_5846	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_1830	Eukaryota	Pseudofungi	Oomycota	Oomycota_X	Peronosporales	Pythium	Unassigned
ASV_1956	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_3698	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Allapsidae_X	Allapsidae_X_sp.
ASV_4244	Eukaryota	Ciliophora	Spirotrichea	Hypotrichia	Spirofilidae	Pseudouroleptus	Pseudouroleptus_jejuensis
ASV_5365	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Unassigned	Unassigned	Unassigned
ASV_1460	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2188	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_4530	Eukaryota	Lobosa	Lobosa-G1	Lobosa-G1_X	Lobosa-G1_XX	Lobosa-G1_XXX	Lobosa-G1_XXX_sp.
ASV_2246	Eukaryota	Ciliophora	Nassophorea	Nassophorea_X	Microthoracida	Unassigned	Unassigned
ASV_2850	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	Paracercomonas_sp.
ASV_3404	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2640	Eukaryota	Cercozoa	Filosa-Granofilosea	Limnofilida	Limnofilidae	Limnofila	Limnofila_anglica
ASV_2658	Eukaryota	Conosa	Variosea	ATCC50593-Flamella-WIM80-lineage	WIM80-lineage	WIM80-lineage_X	WIM80-lineage_X_sp.
ASV_3014	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Unassigned	Unassigned
ASV_3146	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Chrysophyceae_Clade-C_X	Chrysophyceae_Clade-C_X_sp.
ASV_3601	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_3665	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_1887	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_2127	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Unassigned	Unassigned	Unassigned
ASV_5191	Eukaryota	Ciliophora	Colpodea	Colpodea_X	Colpodida	Unassigned	Unassigned
