OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_688	Eukaryota	Metazoa	Tardigrada	Tardigrada_X	Tardigrada_XX	Tardigrada_XXX	Tardigrada_XXX_sp.
ASV_918	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_315	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Ditylenchus	Ditylenchus_sp.
ASV_448	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Helicotylenchus	Unassigned
ASV_345	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_659	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_268	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Paratylenchus	Paratylenchus_neoamblicephalus
ASV_287	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Aphelenchus	Aphelenchus_avenae
ASV_337	Eukaryota	Metazoa	Tardigrada	Tardigrada_X	Tardigrada_XX	Tardigrada_XXX	Tardigrada_XXX_sp.
ASV_508	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Coslenchus	Unassigned
ASV_653	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_3534	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_346	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Unassigned	Unassigned
ASV_517	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Enoplea_XX	Enoplea_XX_sp.
ASV_747	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_652	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Aphelenchoides	Unassigned
ASV_404	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Filenchus	Filenchus_misellus
ASV_563	Eukaryota	Metazoa	Annelida	Annelida_X	Annelida_XX	Unassigned	Unassigned
ASV_390	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Enoplea_XX	Enoplea_XX_sp.
ASV_806	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_1459	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Ditylenchus	Ditylenchus_brevicauda
ASV_767	Eukaryota	Metazoa	Tardigrada	Tardigrada_X	Tardigrada_XX	Tardigrada_XXX	Tardigrada_XXX_sp.
ASV_1429	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Anaplectus	Anaplectus_sp.
ASV_744	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Ditylenchus	Ditylenchus_sp.
ASV_386	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_366	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_1691	Eukaryota	Metazoa	Arthropoda	Chelicerata	Arachnida	Brachychthoniidae	Brachychthoniidae_sp.
ASV_317	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Aphelenchoides	Aphelenchoides_subtenuis
ASV_911	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Alaimus	Alaimus_sp.
ASV_437	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_1909	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Enoplea_XX	Enoplea_XX_sp.
ASV_411	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
